"","Participant","Hours_In_Study","Total_16S","Lactobacillus_crispatus","Lactobacillus_jensenii","Lactobacillus_iners","Gardnerella_vaginalis","Megasphaera","BVAB2","Atopobium_vaginae"
"1551",7,865,2.78e+09,6230,596,1930000,1.92e+08,70800000,54400,31600000
"1554",7,888,2.68e+10,5530,93.8,6310000,3.8e+09,8.85e+08,2150000,3.05e+08
"1557",7,908,9.82e+10,7800,93.8,23600000,7.34e+09,2.11e+09,37500000,6.6e+08
"1560",7,932,5.39e+10,3910,93.8,1.17e+08,5.46e+09,1.44e+09,55100000,7.19e+08
"1563",7,958,7.39e+08,93.8,93.8,319000,1.46e+08,3620000,1560000,6620000
"1565",7,982,4.72e+10,3170000,6.6e+07,3.93e+09,5.82e+09,2.8e+09,1.44e+08,3600000
"1568",7,1006,2.51e+09,3030,943,68500000,4.86e+08,88600000,12200000,16500000
"1571",7,1033,1.16e+11,24500,93.8,1.18e+09,1.08e+10,1.9e+09,2.03e+08,1.11e+09
"1574",7,1055,1.33e+11,11100,93.8,7.6e+08,9.21e+09,2.05e+09,2.07e+08,1.69e+09
"1577",7,1078,8.15e+10,8510,93.8,6.1e+08,1.13e+10,2.06e+09,1.66e+08,2.16e+09
"1580",7,1101,6.81e+10,10400,93.8,1.19e+09,7.94e+09,1.43e+09,96900000,1.73e+09
"1583",7,1133,2.03e+10,39200,93.8,8.82e+08,2.84e+09,2.12e+09,1150000,1.11e+09
"1585",7,1152,6.05e+10,1690,93.8,2.66e+09,1.13e+10,3.04e+09,36600000,2.01e+09
"1588",7,1173,5.76e+10,322,93.8,1.46e+09,1.18e+10,2.55e+09,52900000,2.13e+09
"1591",7,1201,2.29e+10,93.8,93.8,2.36e+08,3.23e+09,3.38e+08,5090000,9.01e+08
"1594",7,1221,1.37e+10,282,93.8,3.6e+07,2.07e+09,2.95e+08,4310000,6.06e+08
"1597",7,1245,5.22e+10,93.8,93.8,3.44e+08,8.88e+09,2e+09,55500000,1.75e+09
"1600",7,1269,5.58e+10,93.8,93.8,2.04e+08,1.1e+10,1.15e+09,1.72e+08,2.09e+09
"1603",7,1293,5.74e+10,93.8,93.8,1.89e+08,5.5e+09,2e+09,2.48e+08,1.49e+09
"1606",7,1318,1.44e+11,93.8,93.8,1.46e+08,7.33e+09,59800000,2.78e+08,1.13e+09
"1608",7,1342,9.78e+09,450,93.8,70100000,1.74e+09,1.28e+08,5230000,2.46e+08
"328",8,0,1.34e+09,2.9e+09,13100000,37600000,7950000,93.8,93.8,93.8
"329",8,17,7.92e+08,2.82e+09,19500000,5220000,4960000,93.8,93.8,93.8
"330",8,22,2.24e+08,4e+08,2770000,673000,1070000,93.8,93.8,93.8
"331",8,30,1.47e+09,3.45e+09,21500000,28800000,1.2e+07,93.8,93.8,93.8
"332",8,42,2.44e+09,4.83e+09,1.07e+08,43300000,2.31e+08,102,93.8,93.8
"333",8,54,1.74e+09,2.58e+09,13400000,53200000,30800000,93.8,93.8,93.8
"334",8,59,2.27e+09,2.93e+09,32200000,1.12e+08,3.68e+08,93.8,93.8,93.8
"335",8,69,1.26e+09,3.42e+09,62200000,3.55e+08,1.09e+09,93.8,93.8,93.8
"336",8,80,1.06e+09,3.79e+08,17900000,2.8e+08,8.98e+08,93.8,93.8,93.8
"337",8,89,1.35e+09,9.97e+08,29600000,7.33e+08,2.89e+09,93.8,93.8,93.8
"338",8,93,2.64e+09,2.92e+09,32100000,5.88e+08,7.6e+08,93.8,93.8,93.8
"339",8,100,1.04e+09,1.46e+09,51600000,3.52e+08,3.04e+09,93.8,93.8,93.8
"340",8,104,1.75e+09,3.17e+08,19800000,2.87e+08,9.01e+09,93.8,93.8,93.8
"341",8,113,1.44e+09,1.85e+08,18400000,7.08e+08,4.59e+09,93.8,93.8,93.8
"342",8,123,1.85e+09,3.79e+08,35800000,6.77e+08,8.95e+09,93.8,93.8,93.8
"343",8,128,1.87e+09,3.61e+08,23200000,9.14e+08,4.59e+09,93.8,93.8,93.8
"344",8,138,2.51e+09,1.04e+09,31600000,1.44e+09,5.25e+09,93.8,93.8,93.8
"345",8,149,2.3e+09,2.16e+09,43700000,9.11e+08,3.12e+09,93.8,93.8,93.8
